Feats_subset,Model_name,train_score,train_std,subm_score,subm_std
New,S_HGB,0.8003,0.0411,0.7895,0.0
High Corr.,B_GB,0.8137,0.0167,0.7852,0.0023
New,S_KN,0.8137,0.0189,0.7847,0.0
High Corr.,S_SVC,0.8227,0.0144,0.7847,0.0
New,S_SVC,0.8283,0.0174,0.7847,0.0
New,B_GB,0.8283,0.018,0.7809,0.0012
New,S_GB,0.8137,0.0197,0.7775,0.0
High Corr.,E_1,0.8249,0.018,0.7775,0.0
High Corr.,E_6,0.826,0.0167,0.7775,0.0
High Corr.,E_3,0.8249,0.018,0.7775,0.0
New,B_SVC,0.8317,0.0169,0.7751,0.0
Originals,S_GB,0.8316,0.0211,0.7751,0.0
New,S_LR,0.8272,0.0141,0.7751,0.0
High Corr.,S_LR,0.826,0.0177,0.7751,0.0
New,S_RF,0.8249,0.0212,0.7751,0.0
All,B_SVC,0.8294,0.0172,0.7727,0.0
High Corr.,B_KN,0.8373,0.0343,0.7727,0.0
Originals,B_GB,0.8272,0.0174,0.7727,0.0
High Corr.,S_RF,0.8171,0.0197,0.7703,0.0
High Corr.,B_XGB,0.8317,0.0244,0.7703,0.0
All,E_6,0.8395,0.0146,0.7703,0.0
All,E_3,0.8384,0.0154,0.7703,0.0
All,E_1,0.8395,0.0146,0.7703,0.0
High Corr.,S_XGB,0.7935,0.0181,0.7703,0.0
High Corr.,S_KN,0.8059,0.031,0.7703,0.0
Originals,S_SVC,0.8316,0.0123,0.7703,0.0
High Corr.,B_RF,0.8103,0.0263,0.7699,0.0032
High Corr.,B_SVC,0.8036,0.0183,0.7679,0.0
New,S_XGB,0.7992,0.0317,0.7679,0.0
New,B_RF,0.8081,0.0261,0.767,0.0042
New,E_6,0.8238,0.0255,0.7656,0.0
All,B_KN,0.8059,0.0301,0.7656,0.0
Originals,S_LR,0.8361,0.0192,0.7656,0.0
High Corr.,S_GB,0.8126,0.0149,0.7656,0.0
New,E_3,0.8261,0.0236,0.7656,0.0
New,B_LR,0.8305,0.0207,0.7656,0.0
Originals,B_LR,0.8014,0.0122,0.7632,0.0
All,B_LR,0.8272,0.0178,0.7632,0.0
New,E_1,0.8249,0.0226,0.7632,0.0
Originals,E_1,0.835,0.0218,0.7632,0.0
All,B_GB,0.8215,0.0132,0.7632,0.0026
Originals,B_SVC,0.7924,0.019,0.7608,0.0
New,B_HGB,0.8249,0.0226,0.7608,0.0
New,B_KN,0.807,0.0337,0.7608,0.0
High Corr.,B_LR,0.8081,0.0166,0.7608,0.0
All,S_SVC,0.8384,0.0145,0.7584,0.0
Originals,B_KN,0.8148,0.0217,0.7584,0.0
Originals,E_6,0.8361,0.0217,0.7584,0.0
All,S_LR,0.8384,0.0186,0.7584,0.0
Originals,E_3,0.8373,0.023,0.756,0.0
All,B_RF,0.8182,0.0332,0.7536,0.004
Originals,B_RF,0.8092,0.0413,0.7522,0.0044
New,B_XGB,0.816,0.0354,0.7512,0.0
High Corr.,S_HGB,0.8014,0.0173,0.7512,0.0
All,S_KN,0.8193,0.0231,0.7512,0.0
Originals,S_RF,0.8294,0.0137,0.7488,0.0
High Corr.,B_HGB,0.8328,0.0199,0.7488,0.0
All,S_RF,0.8305,0.0168,0.7488,0.0
Originals,B_HGB,0.8272,0.0226,0.744,0.0
Originals,S_XGB,0.8036,0.0206,0.7392,0.0
Originals,S_KN,0.8002,0.0248,0.7392,0.0
All,S_GB,0.8249,0.0125,0.7368,0.0
All,S_XGB,0.8126,0.0096,0.7344,0.0
All,S_HGB,0.8058,0.0199,0.7344,0.0
Originals,S_HGB,0.8137,0.0182,0.7344,0.0
All,B_HGB,0.8361,0.0192,0.7344,0.0
Originals,B_XGB,0.8148,0.0339,0.7297,0.0
All,B_XGB,0.8272,0.0232,0.7201,0.0
